UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,30,4712344,2381831,2330513,1737962,1670505,366469,373888,35082,32411,170338,179315,7806,7109,64174,67285,1793939,1729142,392920,403387,55169,52996,196036,205576,14157,13659,1879645,1868569,1299252,1269047,340138,347758,19457,19091,165126,174074,5630,5328,50042,53271,1342713,1315330,360310,370726,33242,33432,187116,196650,10653,10560,502186,461944,438710,401458,26331,26130,15625,13320,5212,5241,2176,1781,14132,14014,451226,413812,32610,32661,21927,19564,8920,8926,3504,3099
R,4.2,2020,31,4601365,2326624,2274741,1706232,1635056,344943,355488,34171,30729,173229,183317,7653,6874,60396,63277,1758758,1690156,369061,382848,53259,50213,197833,208249,13827,12991,1837620,1829630,1278652,1247549,319595,330524,18543,17956,168238,178184,5610,5203,46982,50214,1319367,1291099,337615,351787,31581,31711,189364,199668,10549,10112,489004,445111,427580,387507,25348,24964,15628,12773,4991,5133,2043,1671,13414,13063,439391,399057,31446,31061,21678,18502,8469,8581,3278,2879
R,4.2,2020,32,4524156,2288162,2235994,1694882,1620964,326464,338559,33400,30322,168381,178664,7702,6865,57333,60620,1744523,1673768,349107,364355,51589,49058,191911,202816,13778,12920,1798286,1793838,1265069,1235583,302265,314072,17846,17457,163559,173871,5546,5167,44001,47688,1302918,1277021,318939,333737,29925,30504,183721,194644,10406,10039,489876,442156,429813,385381,24199,24487,15554,12865,4822,4793,2156,1698,13332,12932,441605,396747,30168,30618,21664,18554,8190,8172,3372,2881
R,4.2,2020,33,4481746,2270516,2211230,1693988,1611058,315316,328872,32843,29516,166548,176753,7551,6775,54270,58256,1741217,1661760,336318,353496,50508,48278,188774,199627,13153,12454,1782541,1771511,1265074,1227294,291516,304750,17401,16807,161717,172155,5364,5039,41469,45466,1300969,1266674,306689,323464,29181,29780,180813,191771,9854,9577,487975,439719,428914,383764,23800,24122,15442,12709,4831,4598,2187,1736,12801,12790,440248,395086,29629,30032,21327,18498,7961,7856,3299,2877
R,4.2,2020,34,4504747,2283620,2221127,1711896,1625411,310629,325151,32569,29501,167814,178081,7712,6902,53000,56081,1757841,1673982,330809,348266,50074,47732,189395,200437,13480,12680,1790982,1780557,1278662,1240498,286944,301023,16646,16682,162977,173427,5524,5252,40229,43675,1313293,1278126,301437,318350,28218,29412,181386,192570,10125,9926,492638,440570,433234,384913,23685,24128,15923,12819,4837,4654,2188,1650,12771,12406,444548,395856,29372,29916,21856,18320,8009,7867,3355,2754
R,4.2,2020,35,4463503,2257790,2205713,1697630,1616966,302446,319170,31770,29150,167464,179130,7507,6643,50973,54654,1741800,1664343,321541,340933,49034,47339,188251,201271,13034,12267,1769810,1767221,1267867,1233282,279347,295671,16406,16408,162643,174627,5290,4941,38257,42292,1300751,1269775,292781,311676,27744,29003,180335,193615,9679,9461,487980,438492,429763,383684,23099,23499,15364,12742,4821,4503,2217,1702,12716,12362,441049,394568,28760,29257,21290,18336,7916,7656,3355,2806
R,4.2,2020,36,4419225,2233589,2185636,1682770,1602039,295013,314518,31690,28918,167473,179964,7317,6622,49326,53575,1725491,1648408,313225,335432,48516,47172,187799,201649,12722,12293,1752908,1749885,1259103,1220795,272539,291136,16122,16107,162702,175581,5263,4970,37179,41296,1291065,1256353,285376,306466,27274,28724,179979,194103,9533,9499,480681,435751,423667,381244,22474,23382,15568,12811,4771,4383,2054,1652,12147,12279,434426,392055,27849,28966,21242,18448,7820,7546,3189,2794
R,4.2,2020,37,4480879,2262464,2218415,1709441,1629533,297545,319478,32321,29399,166107,179740,7398,6751,49652,53514,1752380,1675666,315736,340370,49536,47932,186334,201285,12866,12425,1771969,1772300,1276461,1239036,274950,295358,16460,16345,161340,175197,5300,5047,37458,41317,1308572,1274394,287768,310723,27977,29263,178527,193580,9660,9625,490495,446115,432980,390497,22595,24120,15861,13054,4767,4543,2098,1704,12194,12197,443808,401272,27968,29647,21559,18669,7807,7705,3206,2800
R,4.2,2020,38,4436755,2238523,2198232,1695963,1617766,293567,315719,31150,28485,162353,177958,7318,6571,48172,51733,1737564,1662300,311144,336076,48216,46666,181776,198459,12631,12047,1756204,1754979,1270511,1229308,271190,292222,15626,15535,157628,173310,5206,4830,36043,39774,1301361,1263358,283452,307116,26954,28118,174013,190796,9410,9220,482319,443253,425452,388458,22377,23497,15524,12950,4725,4648,2112,1741,12129,11959,436203,398942,27692,28960,21262,18548,7763,7663,3221,2827
R,4.2,2020,39,4413516,2224342,2189174,1689955,1612530,294328,319009,31024,28704,154318,171376,7257,6249,47460,51306,1730887,1656865,311690,339390,47981,46791,173425,191385,12515,11693,1743979,1748307,1265334,1226179,272569,295392,15728,15929,149560,166865,5137,4609,35651,39333,1295801,1259923,284747,310169,27074,28516,165744,183939,9345,9024,480363,440867,424621,386351,21759,23617,15296,12775,4758,4511,2120,1640,11809,11973,435086,396942,26943,29221,20907,18275,7681,7446,3170,2669
R,4.2,2020,40,4335682,2182736,2152946,1655895,1582619,292392,317475,30387,27826,151453,168890,6967,6423,45642,49713,1695243,1625283,308904,337115,47188,45630,169530,188345,12159,11757,1707343,1718326,1236335,1201514,270432,294311,15128,15297,146886,164430,4829,4788,33733,37986,1265167,1233830,281786,308481,26179,27726,161976,180935,8924,9077,475393,434620,419560,381105,21960,23164,15259,12529,4567,4460,2138,1635,11909,11727,430076,391453,27118,28634,21009,17904,7554,7410,3235,2680
R,4.2,2020,41,4174735,2096406,2078329,1595410,1529595,276877,305054,28671,26796,146296,164185,6228,5811,42924,46888,1632365,1569904,292397,323243,44517,43866,163287,182572,10943,10711,1650334,1661560,1200721,1164276,256583,282817,14654,14691,142026,159974,4446,4240,31904,35562,1227894,1194601,267288,295778,25164,26480,156377,175580,8185,8192,446072,416769,394689,365319,20294,22237,14017,12105,4270,4211,1782,1571,11020,11326,404471,375303,25109,27465,19353,17386,6910,6992,2758,2519
R,4.2,2020,42,4116376,2063339,2053037,1577625,1518966,268544,296763,28369,26618,141188,159673,6236,5638,41377,45379,1613086,1557781,283321,314253,43796,43463,157695,177391,10713,10403,1617849,1634690,1182725,1150978,248887,275188,14398,14625,136920,155345,4393,4190,30526,34364,1208565,1180105,258944,287500,24598,26300,150751,170405,7928,8033,445490,418347,394900,367988,19657,21575,13971,11993,4268,4328,1843,1448,10851,11015,404521,377676,24377,26753,19198,17163,6944,6986,2785,2370
R,4.2,2020,43,4010451,2006753,2003698,1533745,1481628,259055,287776,27606,25712,141023,160002,5874,5525,39450,43055,1567753,1518266,272859,304204,42562,41857,156622,176995,10267,10149,1573013,1592256,1148601,1118644,240136,266858,14173,14289,136794,155810,4186,4028,29123,32627,1173373,1146123,249387,278507,24226,25544,149906,170161,7669,7761,433740,411442,385144,362984,18919,20918,13433,11423,4229,4192,1688,1497,10327,10428,394380,372143,23472,25697,18336,16313,6716,6834,2598,2388
